Syrian Arab Republic,3720.8,4320.8,5040.8,5100.8,5160.8,5220.8,5220.8,5220.8,5220.8,5220.8,5220.8
Tajikistan,..,4100,4147.2,4170.8,4194.4,4218,4218,4218,4218,4228,4238
Tanzania,573900.1,536700.1,492060.06,488340.04,484620.02,480900,476210,471520,466830,462140,457450
Thailand,193610,189980,200682,200658,200634,200610,200170,199810,199450,199090,198730
Timor-Leste,9631,9491,9323,9309,9295,9281,9267,9256,9239,9225,9211
Togo,13616.6,12684.64,12329.5,12299.9,12270.3,12240.7,12211.1,12181.5,12151.9,12122.3,12092.7
Tonga,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5
Trinidad and Tobago,2420.6,2366.5,2315.62,2311.38,2307.14,2302.9,2298.7,2294.5,2290.3,2286.1,2281.9
Tunisia,6439.769,6678.5,6904.9,6920.2,6935.5,6950.8,6966.1,6981.4,6996.7,7012,7027.3
Turkiye,197834.8,201483.5,213019.68,214114.12,215208.56,216303,216303,217524.6,219083.6,220643.6,222203.6
Turkmenistan,..,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270
Turks and Caicos Islands,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2
Tuvalu,10,10,10,10,10,10,10,10,10,10,10
Uganda,35754.7,31629.5,26679.16,26266.64,25854.12,25441.6,25029.1,24616.6,24204.1,23791.5,23379
Ukraine,..,95100,95916,96134,96352,96570,96640,96710,96780,96840,96900
United Arab Emirates,2450,3094.3,3173,3173,3173,3173,3173,3173,3173,3173,3173
United Kingdom,27780,29540,30974,31166,31358,31550,31590,31640,31730,31820,31900
United States,3024500,3035360,3092700,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950
Uruguay,7980,13690,18067.8,18445.2,18822.6,19200,19470,19680,19890,20100,20310
Uzbekistan,..,29614.61,34295.2,34694.8,35094.4,35494,35863,36121.36,36379.8,36638.2,36896.6
Vanuatu,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423
"Venezuela, RB",520260,491510,471762,470118,468474,466830,465432.6,464281.8,463377.6,462720,462309
Vietnam,93759.6,117841,136575.8,137923.4,139271,140618.6,143776.8,144153.9,144912.9,145671.9,146430.9
Virgin Islands (U.S.),245.4,204.7,187.22,188.68,190.14,191.6,193.1,194.6,196.1,197.6,199.1
West Bank and Gaza,90.8,90.8,100.26,100.64,101.02,101.4,101.4,101.4,101.4,101.4,101.4
"Yemen, Rep.",5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490
Zambia,474120,470540,463196.4,461314.6,459432.8,457551,455668,453786.7,451904.6,450022.4,448140.3
Zimbabwe,188266.8,183659.8,178131.4,177670.7,177210,176749.3,176288.6,175827.9,175367.2,174906.5,174445.8
Africa Eastern and Southern,5279295.5,5058895.14,4734211.36,4703021.74,4671832.12,4640642.5,4607876.1,4575901.2,4544314.78,4511676.2,4479395
Africa Western and Central,2060349,1953461.84,1854212.96,1846256.64,1838300.32,1830344,1822960.779,1815608.1,1807898.6,1800220.1,1792580.7
Arab World,507946.169,483351.7,387313.68,384888.52,382463.36,380038.2,377730.6,375191.7,372634.1,370302.7,367980.7
Caribbean small states,369972.4,367737.7,365932.84,365635.56,365338.28,365041,364757.9,364515.3,364223.4,363931.1,363639.2
Central Europe and the Baltics,203939,358777.6,375384.4,376837.5,378290.6,379743.7,380336.502,380939.984,381258,381574.9,381881.8
Early-demographic dividend,8352605.2,8070690.194,7793752.947,7763226.134,7732699.322,7702172.509,7686805,7655531.46,7632988.4,7610957.1,7589317.5
East Asia & Pacific,6398280.269,6358553.198,6550796.263,6563335.716,6575875.17,6588414.623,6617999.125,6617836.7,6625321.5,6632992.9,6640831.4
East Asia & Pacific (excluding high income),4636451.7,4613824.063,4815025.495,4820618.366,4826211.238,4831804.109,4852144.37,4852271.7,4859939.3,4867609.8,4875280.4
East Asia & Pacific (IDA & IBRD countries),4567150.7,4549099.863,4752852.495,4758657.966,4764463.438,4770268.909,4790821.77,4791161.7,4799041.9,4806925,4814808.2
Euro area,813105.91,978203.096,1021882.37,1024078.29,1026274.21,1028470.13,1030071.2,1031881.2,1033420,1034958.4,1036486.8
Europe & Central Asia,1669786.91,10354179.86,10527712.77,10533463.83,10539214.88,10544965.94,10551026.25,10557501.86,10562160.26,10566819.1,10571460.1
Europe & Central Asia (excluding high income),238992.8,8706744.968,8827461.727,8829806.32,8832150.914,8834495.507,8838352.052,8842640.675,8845392.462,8848146,8850901.7
Europe & Central Asia (IDA & IBRD countries),391522.8,8879844.968,9007017.567,9010320.08,9013622.594,9016925.107,9021233.754,9025717.259,9028614.062,9031512.6,9034413.3
European Union,1302989.31,1517983.696,1572707.33,1575994.43,1579281.53,1582568.63,1584695.302,1586843.084,1588671.1,1590497.5,1592313.8
Fragile and conflict affected situations,5338750,5188851.963,4916553.735,4890690.726,4864827.718,4838964.709,4812074.579,4786270.3,4761089.18,4735421.3,4710397.2
Heavily indebted poor countries (HIPC),6241141.5,5933425.64,5521304.72,5489385.48,5457466.24,5425547,5391094.3,5357638.9,5324413.28,5290657.1,5257492.2
High income,9931843.479,10149156.93,10261023.55,10275742.02,10290460.48,10305178.94,10317365.46,10317219.08,10319900.3,10322761.5,10325771.6
IBRD only,16572862.77,24507712.7,24235606.87,24217542.78,24199478.69,24181414.61,24176884.72,24147934.96,24136296.66,24123028.5,24110892.6
IDA & IBRD total,23936882.37,31613234.69,30944155.39,30887231.13,30830306.88,30773382.62,30730056.4,30663489.76,30614171.74,30562216,30511789.4
IDA blend,1326057.2,1368737.973,1329177.455,1326040.006,1322902.558,1319765.109,1316722.779,1314043.36,1311097.8,1307859.6,1304621.4
IDA only,6037962.4,5736784.021,5379371.072,5343648.348,5307925.624,5272202.9,5236448.9,5201511.442,5166777.28,5131327.9,5096275.4
IDA total,7364019.6,7105521.994,6708548.527,6669688.354,6630828.182,6591968.009,6553171.679,6515554.802,6477875.08,6439187.5,6400896.8
Late-demographic dividend,9488165.069,17570731.96,17544405.85,17553074,17561742.15,17570410.31,17578118.62,17578621.62,17587197.86,17593652.8,17600849.8
Latin America & Caribbean,10699608.5,10154409.6,9543467.36,9514546.24,9485625.12,9456704,9426994.8,9392385.2,9369198.6,9344163.7,9320331.1
Latin America & Caribbean (excluding high income),9961314.2,9434113.4,8826775.24,8797491.86,8768208.48,8738925.1,8709226.6,8674441.1,8650831.1,8625128.1,8600380
Latin America & the Caribbean (IDA & IBRD countries),10670140.4,10120126.4,9502576.6,9473145.2,9443713.8,9414282.4,9383996.8,9349370.8,9326176.9,9301136.5,9277297.5
Least developed countries: UN classification,6332574.7,6049316.221,5663078.852,5623823.468,5584568.084,5545312.7,5505964.9,5467438.6,5429317.18,5390473.4,5352026.5
Low & middle income,23144580.97,30818599.69,30150734.45,30092788.07,30034841.7,29976895.32,29933491.5,29866357.88,29816266.14,29763290.2,29711596.9
